
+---------+------------------------------------------------------------------+-----------+-----------+---------------+--------------------+--------------------+------------------------------------------------------------------------------------------+
| ID de Bug | Descripción                                                      | Severidad | Estado    | Asignado a    | Fecha de Detección | Fecha de Resolución | Observaciones                                                                            |
+---------+------------------------------------------------------------------+-----------+-----------+---------------+--------------------+--------------------+------------------------------------------------------------------------------------------+
| BUG001  | Error 500 en API de registro (/api/register-user) por campo vacío. | Alta      | Resuelto  | Development   | 2024-08-10         | 2024-08-11         | Logs de función muestran crash al intentar generar email con 'segundoNombre' vacío.     |
| BUG002  | Error 404 (PageNotFoundError) en la ruta /register.              | Alta      | Resuelto  | Development   | 2024-08-09         | 2024-08-09         | Registros de Hosting muestran múltiples 404 para esta ruta. Estructura de archivos corregida. |
| BUG003  | Scroll horizontal en vistas de panel de administración.          | Media     | Resuelto  | Development   | 2024-08-12         | 2024-08-13         | Problema de CSS reportado por usuarios. Afectaba la usabilidad en móviles.               |
| BUG004  | Error de 'key' única en la lista de validación de docentes.      | Baja      | Resuelto  | Development   | 2024-08-14         | 2024-08-14         | Error en consola de cliente (React). No rompe la app pero es mala práctica y degrada el rendimiento. |
| BUG005  | Tiempo de carga lento en el dashboard del gestor.                | Media     | En Proceso| Performance   | 2024-08-15         | -                  | Logs de Firestore indican múltiples lecturas de documentos no optimizadas.               |
| BUG006  | Permisos de Firestore demasiado permisivos en colección 'pagos'.   | Alta      | Abierto   | Security      | 2024-08-16         | -                  | Alerta de seguridad automática. Las reglas permiten que los usuarios lean pagos de otros. |
| BUG007  | Inconsistencia de imágenes de materias entre vistas (admin/est). | Baja      | Resuelto  | Development   | 2024-08-15         | 2024-08-15         | Reporte de UX. Se solucionó unificando la lógica de obtención de imágenes.              |
| BUG008  | El generador de PDF de horarios no distingue el rol del usuario. | Baja      | Resuelto  | Development   | 2024-08-16         | 2024-08-16         | El PDF para docentes se generaba con la etiqueta "Estudiante".                          |
| BUG009  | Fallo en envío de correo de bienvenida tras aprobación de pre-reg. | Media     | En Proceso| Development   | 2024-08-17         | -                  | Nodemailer reporta error de autenticación SMTP. Revisar credenciales en .env.          |
| BUG010  | Error de hidratación en el calendario del dashboard de estudiante. | Media     | Abierto   | Development   | 2024-08-18         | -                  | Discrepancia entre el render del servidor y del cliente al usar 'new Date()'.              |
| BUG011  | API de login no diferencia entre mayúsculas/minúsculas en email. | Media     | Resuelto  | Development   | 2024-08-18         | 2024-08-19         | 'user@example.com' y 'User@example.com' se tratan como usuarios distintos.              |
| BUG012  | El token de reseteo de contraseña no expira correctamente.        | Alta      | Abierto   | Security      | 2024-08-19         | -                  | Un token puede ser reutilizado múltiples veces si no se marca como 'usado'.              |
| BUG013  | No se puede editar un usuario con rol 'gestor' desde panel Admin. | Media     | Resuelto  | Development   | 2024-08-19         | 2024-08-19         | La API de edición de usuario tenía una validación incorrecta de roles.                 |
| BUG014  | La paginación en la tabla de usuarios (Admin) no funciona.         | Baja      | Abierto   | Development   | 2024-08-20         | -                  | La lógica de paginación del lado del cliente no se implementó.                       |
| BUG015  | Conflicto de horario no se detecta al asignar docente en el mismo salón. | Alta | Abierto   | Development   | 2024-08-20         | -                  | La validación de backend es necesaria antes de guardar un nuevo horario.                 |
| BUG016  | El botón "Cancelar" en el formulario de nueva carrera no funciona. | Baja      | Resuelto  | Development   | 2024-08-21         | 2024-08-21         | El botón no tenía un event handler asignado. Se corrigió con un router.back().        |
| BUG017  | El promedio ponderado del estudiante se calcula incorrectamente.    | Media     | Abierto   | Development   | 2024-08-22         | -                  | El cálculo no considera los créditos de las materias.                                |
| BUG018  | La sesión de usuario no expira.                                    | Media     | Abierto   | Security      | 2024-08-22         | -                  | Se necesita implementar un mecanismo de expiración de sesión (e.g., JWT).            |
| BUG019  | El formulario de registro permite fechas de nacimiento futuras.    | Baja      | Resuelto  | Development   | 2024-08-23         | 2024-08-23         | La validación del calendario en el frontend no restringía fechas futuras.              |
| BUG020  | Error 500 al intentar eliminar una carrera con grupos asociados.  | Media     | Abierto   | Development   | 2024-08-24         | -                  | Se debe implementar borrado en cascada o impedir borrado si hay dependencias.        |
| BUG021  | El filtro de materias por ciclo no se resetea al cambiar de carrera. | Baja      | Resuelto  | UX/UI         | 2024-08-25         | 2024-08-25         | El estado del filtro de ciclo no se limpiaba en el useEffect.                      |
| BUG022  | El rol de un usuario se puede escalar a 'admin' a través de la API. | Crítica   | Abierto   | Security      | 2024-08-26         | -                  | La API PUT /api/admin/users/[userId] no valida que el payload no intente asignar 'admin'.|
| BUG023  | Inyección de HTML en campo de descripción de carrera.            | Alta      | Abierto   | Security      | 2024-08-27         | -                  | El contenido no está siendo sanitizado antes de renderizarlo en la vista pública.    |
| BUG024  | El dashboard de gestor se bloquea al intentar cargar 1000+ pagos.  | Media     | En Proceso| Performance   | 2024-08-28         | -                  | Falta paginación del lado del servidor para la consulta de pagos.                    |
| BUG025  | Las imágenes de perfil de usuario no se cargan (Error 403).       | Baja      | Abierto   | Development   | 2024-08-29         | -                  | Reglas de Storage de Firebase impiden el acceso público no autenticado.            |
| BUG026  | El modo oscuro presenta colores de texto ilegibles en modales.    | Baja      | Resuelto  | UX/UI         | 2024-08-29         | 2024-08-29         | Las variables de color para modales en modo oscuro no estaban definidas en globals.css.|
| BUG027  | La toma de asistencia permite registrar múltiples veces para un día. | Media   | Abierto   | Development   | 2024-08-30         | -                  | La API no valida si ya existe un registro de asistencia para ese estudiante/grupo/día. |
| BUG028  | El campo de teléfono en registro no valida formato internacional. | Baja      | Abierto   | Development   | 2024-08-31         | -                  | La validación de Zod es demasiado simple y solo permite números.                   |
| BUG029  | Seeding de datos falla si uno de los datos ya existe.             | Media     | Resuelto  | Development   | 2024-09-01         | 2024-09-01         | El script de seeding no usaba 'set' con 'merge' o no verificaba existencia.        |
| BUG030  | La descripción de materia en el pensum no permite saltos de línea. | Baja      | Abierto   | UX/UI         | 2024-09-02         | -                  | Se debe aplicar una clase CSS 'whitespace-pre-wrap'.                             |
| BUG031  | El total de créditos en la vista de carrera no se actualiza.      | Baja      | En Proceso| Development   | 2024-09-03         | -                  | El cálculo se hace una vez al cargar y no se recalcula tras editar el pensum.        |
| BUG032  | API de búsqueda de usuarios es sensible a mayúsculas.            | Baja      | Abierto   | Development   | 2024-09-04         | -                  | Las consultas a Firestore deben normalizars a minúsculas.                        |
| BUG033  | Los Toasts de notificación no son accesibles para lectores de pantalla. | Media | Abierto   | UX/UI (A11y)  | 2024-09-05         | -                  | Falta implementar atributos ARIA-live en los componentes de notificación.          |
| BUG034  | El estado de la sesión se pierde al recargar la página.            | Alta      | Abierto   | Development   | 2024-09-06         | -                  | Se está usando useState en lugar de LocalStorage/SessionStorage para persistir.   |
| BUG035  | El carrusel de programas en el Landing no es navegable con teclado. | Media     | Resuelto  | UX/UI (A11y)  | 2024-09-07         | 2024-09-07         | Se añadieron event handlers para las teclas de flecha.                           |
| BUG036  | Logout no invalida el token de sesión en el backend.              | Alta      | Abierto   | Security      | 2024-09-08         | -                  | Es necesario implementar una lista negra de tokens o similar.                      |
| BUG037  | Se pueden inscribir más estudiantes a un grupo que la capacidad del salón. | Media | Abierto   | Development   | 2024-09-09         | -                  | Falta una validación en el backend al momento de la inscripción.                 |
| BUG038  | Error en la zona horaria al mostrar fechas de eventos del calendario. | Media | Abierto   | Development   | 2024-09-10         | -                  | Las fechas se guardan sin zona horaria y se muestran en la hora local del navegador. |
| BUG039  | El botón "Descargar Documentos" en pre-registro no hace nada.      | Baja      | Abierto   | Development   | 2024-09-11         | -                  | La funcionalidad nunca fue implementada.                                         |
| BUG040  | El campo de contraseña autocompletado es visible en el DOM.        | Baja      | Resuelto  | Security      | 2024-09-12         | 2024-09-12         | Se añadió 'autocomplete="new-password"'.                                        |
| BUG041  | La API de 'suggest-content' de Genkit agota la cuota rápidamente.  | Media     | En Proceso| Performance   | 2024-09-13         | -                  | Se está llamando en cada render. Debe tener un debounce o ser manual.            |
| BUG042  | El estado de 'loading' no se muestra al generar reportes PDF.     | Baja      | Resuelto  | UX/UI         | 2024-09-14         | 2024-09-14         | Se añadió un estado 'isGenerating' para deshabilitar el botón y mostrar feedback.  |
| BUG043  | Fallo al subir imágenes de más de 1MB en la gestión de media.    | Media     | Abierto   | Development   | 2024-09-15         | -                  | Las Cloud Functions tienen un límite de tamaño de payload. Se necesita usar Storage. |
| BUG044  | El nombre del docente no se actualiza en los horarios si se cambia. | Media     | Abierto   | Development   | 2024-09-16         | -                  | El horario en Firestore tiene el nombre duplicado. Debe usar solo el ID y hacer lookup.|
| BUG045  | La validación de teléfono en el formulario de registro falla.    | Alta      | Resuelto  | Development   | 2024-09-17         | 2024-09-17         | Regex en el validador era muy estricto y no permitía formatos válidos.           |
| BUG046  | El menú de sidebar se cierra al hacer clic en un submenú.          | Baja      | Abierto   | UX/UI         | 2024-09-18         | -                  | El event propagation no se detiene correctamente en el componente del submenú.   |
| BUG047  | El rol 'gestor' puede ver datos de configuración del 'admin'.      | Alta      | Abierto   | Security      | 2024-09-19         | -                  | Las reglas de Firestore en la colección 'siteSettings' son incorrectas.            |
| BUG048  | El buscador del header no está conectado a ninguna funcionalidad. | Baja      | Abierto   | Development   | 2024-09-20         | -                  | Es un componente de UI sin lógica de búsqueda implementada.                    |
| BUG049  | Las materias electivas no se muestran en el formulario de registro. | Media   | En Proceso| Development   | 2024-09-21         | -                  | La lógica de filtrado de materias en el registro solo trae las obligatorias.     |
